il_adi,ilce_adi,mahalle_adi,tesis_adi,x,y
İSTANBUL,Kadıköy ,KOZYATAĞI,Barış-1 Parkı,29.09877,40.96655
İSTANBUL,Kadıköy ,KOZYATAĞI,Barış-2 Parkı,29.09988,40.96737
İSTANBUL,Kadıköy ,KOZYATAĞI,Firuzan Toprak Parkı,29.09495,40.96436
İSTANBUL,Kadıköy ,KOZYATAĞI,Sarı Kanarya Parkı,29.09698,40.97604
İSTANBUL,Kadıköy ,KOZYATAĞI,Ahmet Taner Kışlalı Parkı,29.09232,40.97163
İSTANBUL,Kadıköy ,KOZYATAĞI,Ilgın Parkı,29.09798,40.97339
İSTANBUL,Kadıköy ,KOZYATAĞI,Afet Eğitim Parkı,29.09711,40.97538
İSTANBUL,Kadıköy ,KOZYATAĞI,Mehmet Çavuş Cami Bahçesi,29.0958,40.972
İSTANBUL,Kadıköy ,KOZYATAĞI,Hakkı Değer Ortaokulu Bahçesi,29.09535,40.96372
İSTANBUL,Kadıköy ,KOZYATAĞI,İlhami Ertem Ortaokulu Bahçesi,29.09676,40.97386
İSTANBUL,Kadıköy ,KOZYATAĞI,Şükran Karabelli İlkokulu Bahçesi,29.09303,40.96843
İSTANBUL,Kadıköy ,KOZYATAĞI,Kozyatağı Metro Girişi Alanı,29.09823,40.97508
